월,날짜,시간,온도
1,29,2300,0.7
1,30,0,2.6
1,30,100,3.8
1,30,200,5.1
1,30,300,6
1,30,400,7
1,30,500,6.7
1,30,600,7.1
1,30,700,4.9
1,30,800,2.1
1,30,900,-1
1,30,1000,-2.1
1,30,1100,-2.4
1,30,1200,-3.2
1,30,1300,-3.9
1,30,1400,-4.5
1,30,1500,-4.5
1,30,1600,-5
1,30,1700,-5.4
1,30,1800,-5.7
1,30,1900,-6
1,30,2000,-6.1
1,30,2100,-6.2
1,30,2200,-5.9
1,30,2300,-2.6
1,31,0,2.6
1,31,100,7.3
1,31,200,9.1
1,31,300,9.6
1,31,400,11.1
1,31,500,10.4
1,31,600,10.2
1,31,700,9.9
1,31,800,6.5
1,31,900,3.4
1,31,1000,2.8
1,31,1100,1.7
1,31,1200,1.4
1,31,1300,1.9
1,31,1400,2.5
1,31,1500,8.9
1,31,1600,8.7
1,31,1700,7.1
1,31,1800,6
1,31,1900,5.7
1,31,2000,5.4
1,31,2100,8.3
1,31,2200,6.5
1,31,2300,5.8
2,1,0,9.2
2,1,100,9.7
2,1,200,11.1
2,1,300,11.4
2,1,400,11.1
2,1,500,10.9
2,1,600,9
2,1,700,8.4
2,1,800,7.6
2,1,900,4.8
2,1,1000,4.3
2,1,1100,3
2,1,1200,2.1
2,1,1300,1.1
2,1,1400,-0.2
2,1,1500,-2
2,1,1600,-2.3
2,1,1700,-2.8
2,1,1800,-3.1
2,1,1900,-3.8
2,1,2000,-4.6
2,1,2100,-5.2
2,1,2200,-5.6
2,1,2300,-4.5
2,2,0,-4.2
2,2,100,-3.1
2,2,200,-3.4
2,2,300,-2.9
2,2,400,-2.7
2,2,500,-2.5
2,2,600,-2.9
2,2,700,-3.5
2,2,800,-4.2
2,2,900,-5.2
2,2,1000,-5.4
2,2,1100,-4.4
2,2,1200,-4.8
2,2,1300,-5.2
2,2,1400,-5.5
2,2,1500,-6.5
2,2,1600,-8.5
2,2,1700,-9.8
2,2,1800,-11.7
2,2,1900,-12.8
2,2,2000,-11.7
2,2,2100,-12.7
2,2,2200,-12.4
2,2,2300,-7.5
2,3,0,-3
2,3,100,-0.2
2,3,200,0.3
2,3,300,1.2
2,3,400,1.8
2,3,500,2.4
2,3,600,1.9
2,3,700,1.4
