날짜,시간,풍속(m/s)
21,1100,2.7
21,1200,3.4
21,1300,3
21,1400,1.4
21,1500,2.8
21,1600,1.8
21,1700,1.4
21,1800,1.7
21,1900,0.9
21,2000,1.4
21,2100,0.1
21,2200,1.4
21,2300,1.2
22,0,2.5
22,100,1.5
22,200,1.2
22,300,2.1
22,400,2.3
22,500,2.1
22,600,2.6
22,700,0.9
22,800,2.1
22,900,2.6
22,1000,2
22,1100,1.3
22,1200,1
22,1300,1.2
22,1400,1
22,1500,1.3
22,1600,0.7
22,1700,1.9
22,1800,2.1
22,1900,1.4
22,2000,1.7
22,2100,1.8
22,2200,1.8
22,2300,2
23,0,2.4
23,100,0.8
23,200,1.5
23,300,1.8
23,400,2.4
23,500,2.3
23,600,2.1
23,700,1.1
23,800,1.6
23,900,1.1
23,1000,0.9
23,1100,0.6
23,1200,1.1
23,1300,2.2
23,1400,1.6
23,1500,1.3
23,1600,1.4
23,1700,1.4
23,1800,2.2
23,1900,1
23,2000,1
23,2100,1
23,2200,0.9
23,2300,1.3
24,0,2.1
24,100,2.9
24,200,2.2
24,300,2.8
24,400,3.5
24,500,2.9
24,600,2.4
24,700,3.9
24,800,3.2
24,900,4.6
24,1000,4.1
24,1100,3.8
24,1200,5.4
24,1300,4.1
24,1400,4.5
24,1500,5.4
24,1600,4.1
24,1700,3.8
24,1800,4.2
24,1900,2.7
24,2000,4.4
24,2100,3.3
24,2200,3
24,2300,4.6
25,0,3.6
25,100,3.8
25,200,4
25,300,3.4
25,400,4.3
25,500,4.2
25,600,5.7
25,700,3.8
25,800,4.8
25,900,4.3
25,1000,4.5
25,1100,2.9
25,1200,2.2
25,1300,3.2
25,1400,2.4
25,1500,3.5
25,1600,2.6
25,1700,2.1
25,1800,3.1
25,1900,3.4
25,2000,3.3
25,2100,2.9
25,2200,3.6
25,2300,3.7
26,0,3.3
26,100,2.9
26,200,3.1
26,300,2.8
26,400,3.4
26,500,3.3
26,600,3.3
26,700,3.9
26,800,3
26,900,2.5
26,1000,2.3
26,1100,3
26,1200,3.2
26,1300,3.2
26,1400,2.5
26,1500,0.2
26,1600,1.3
26,1700,1.6
26,1800,1.4
26,1900,1.7
26,2000,2
26,2100,0.8
26,2200,2
26,2300,2.5
27,0,1.3
27,100,1.5
27,200,1.4
27,300,2.1
27,400,2.6
27,500,1.2
27,600,1.7
27,700,1.7
27,800,2.4
27,900,2.8
27,1000,2.1
27,1100,1.6
27,1200,1.4
27,1300,0.7
27,1400,2.1
27,1500,2.1
27,1600,2.2
27,1700,1.6
27,1800,2.3
27,1900,2.3
27,2000,2.3
27,2100,2.2
27,2200,2.5
27,2300,2.3
28,0,2
28,100,1.5
28,200,2.3
28,300,2.2
28,400,2.5
28,500,2.7
28,600,2.9
28,700,2.4
28,800,2.4
28,900,2.7
28,1000,1.8
28,1100,1.9
28,1200,1.9
28,1300,1.5
28,1400,1.9
28,1500,1.6
28,1600,2
28,1700,1.8
28,1800,2
28,1900,1.4
28,2000,2.3
28,2100,1.5
28,2200,2.1
28,2300,2.4
29,0,1
29,100,1.4
29,200,0.4
29,300,2.7
29,400,5.4
29,500,2.9
29,600,3.8
29,700,3
29,800,3.9
29,900,3.5
29,1000,3.9
29,1100,4
29,1200,4.3
29,1300,3
29,1400,3.2
29,1500,4.7
29,1600,4.4
29,1700,3.4
29,1800,3.2
29,1900,3.5
29,2000,2.5
29,2100,1.8
29,2200,2.6
29,2300,2.5
30,0,1.4
30,100,1.6
30,200,2.6
30,300,4
30,400,3.3
30,500,3
30,600,3.7
30,700,3.1
30,800,3.6
30,900,5
30,1000,6.1
30,1100,3.8
30,1200,3.6
30,1300,3.8
30,1400,3.7
30,1500,3.3
30,1600,4.3
30,1700,4.2
30,1800,4
30,1900,4.1
30,2000,2.4
30,2100,3.3
30,2200,2.9
30,2300,4.1
31,0,4.3
31,100,4.1
31,200,3.5
31,300,4.5
31,400,4.4
31,500,4.8
31,600,3.9
31,700,1.9
31,800,1.7
31,900,2.8
31,1000,4.5
31,1100,3.9
31,1200,3.2
31,1300,1.6
31,1400,2.4
31,1500,1.6
31,1600,1
31,1700,1.6
31,1800,1
31,1900,0.3
31,2000,2
31,2100,2.3
31,2200,2.6
31,2300,1.6
 ,,
